City,Brand,Model,Year,Body,Color,Engine,Engine Power,Fuel Type,Mileage,Gearbox,Transmission,Being new,Price
Şəmkir,GAZ,31105,2004,Sedan,Gümüşü,2.3 L,130 a.g.,Benzin,221 000 km,Mexaniki,Arxa,Xeyr,6 800
Bakı,Mercedes,B 180,2011,Hetçbek / Liftbek,Qara,1.8 L,109 a.g.,Benzin,125 000 km,Avtomat,Ön,Xeyr,13 500
Xırdalan,Toyota,Corolla,2006,Hetçbek / Liftbek,Ağ,1.4 L,90 a.g.,Dizel,267 000 km,Mexaniki,Ön,Xeyr,12 900
Bakı,Toyota,Camry,2021,Sedan,Qara,2.5 L,200 a.g.,Benzin,0 km,Avtomat,Ön,Bəli,41 000
Bakı,LADA (VAZ),2106,1998,Sedan,Ağ,1.6 L,75 a.g.,Benzin,258 000 km,Mexaniki,Arxa,Xeyr,4 500
Sumqayıt,LADA (VAZ),2107,2006,Sedan,Ağ,1.6 L,75 a.g.,Benzin,120 000 km,Mexaniki,Arxa,Xeyr,5 650
Bakı,Nissan,Sunny,2013,Sedan,Ağ,1.5 L,109 a.g.,Benzin,100 000 km,Avtomat,Ön,Xeyr,13 000
Bakı,LADA (VAZ),Niva,2019,Offroader / SUV,Yaş Asfalt,1.7 L,80 a.g.,Benzin,82 000 km,Mexaniki,Tam,Xeyr,17 100
Bakı,Chevrolet,Cruze,2015,Sedan,Qara,1.4 L,141 a.g.,Benzin,160 934 km,Avtomat,Ön,Xeyr,13 700
Bakı,Nissan,Qashqai,2013,Offroader / SUV,Qara,2.0 L,141 a.g.,Benzin,219 450 km,Avtomat,Tam,Xeyr,23 000
Bakı,Alfa Romeo,Stelvio,2022,Offroader / SUV,Göy,2.0 L,280 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,57 650
Gəncə,Opel,Vectra,1996,Sedan,Yaş Asfalt,1.8 L,116 a.g.,Benzin,100 000 km,Avtomat,Ön,Xeyr,6 000
Zərdab,Mercedes,190,1991,Sedan,Yaşıl,1.8 L,109 a.g.,Benzin,324 493 km,Avtomat,Arxa,Xeyr,5 500
Bakı,Nissan,Patrol,2022,Offroader / SUV,Qara,4.0 L,275 a.g.,Benzin,0 km,Avtomat,Tam,Bəli,117 500
Bakı,Opel,Astra,2005,Hetçbek / Liftbek,Göy,1.4 L,90 a.g.,Benzin,169 000 km,Mexaniki,Ön,Xeyr,10 600
Sumqayıt,Mercedes,E 240,1998,Sedan,Bənövşəyi,2.4 L,170 a.g.,Benzin,235 000 km,Avtomat,Arxa,Xeyr,11 800
Bakı,Kia,Cerato,2014,Sedan,Qara,2.0 L,150 a.g.,Benzin,117 998 km,Avtomat,Ön,Xeyr,19 700
Salyan,Mercedes,E 220,2001,Sedan,Qara,2.2 L,143 a.g.,Dizel,495 000 km,Avtomat,Arxa,Xeyr,16 500
Bakı,Infiniti,Q30,2017,Hetçbek / Liftbek,Boz,2.0 L,211 a.g.,Benzin,35 000 km,Avtomat,Tam,Xeyr,24 800
Bakı,Mercedes,E 200,1998,Sedan,Yaş Asfalt,2.0 L,136 a.g.,Benzin,370 000 km,Mexaniki,Ön,Xeyr,9 800
Bakı,Hyundai,Tucson,2007,Offroader / SUV,Ağ,2.0 L,141 a.g.,Dizel,260 296 km,Avtomat,Tam,Xeyr,17 600
Bakı,Hyundai,Santa Fe,2014,Offroader / SUV,Ağ,2.4 L,175 a.g.,Benzin,130 200 km,Avtomat,Tam,Xeyr,30 500
Sumqayıt,IJ,27175,2007,Pikap,Ağ,1.6 L,75 a.g.,Benzin,148 000 km,Mexaniki,Arxa,Xeyr,5 800
Bakı,Harley-Davidson,Softail Deluxe,2016,Motosiklet,Yaşıl,1.8 L,86 a.g.,Benzin,28 000 km,Mexaniki,Arxa,Xeyr,22 900
Bakı,Nissan,Sunny,2009,Sedan,Ağ,1.3 L,90 a.g.,Benzin,140 000 km,Avtomat,Ön,Xeyr,12 800
Bakı,Mini,Countryman,2012,Offroader / SUV,Ağ,1.6 L,184 a.g.,Benzin,135 000 km,Avtomat,Tam,Xeyr,23 900
Bakı,LADA (VAZ),2107,1989,Sedan,Bej,1.6 L,75 a.g.,Benzin,145 000 km,Mexaniki,Arxa,Xeyr,2 700
Bakı,BMW,320,2009,Sedan,Qara,2.0 L,186 a.g.,Dizel,285 000 km,Avtomat,Arxa,Xeyr,21 500
